<0,0> -> 0.000000 
<15,8> -> 142.856616 
<15,9> -> 142.854591 
<15,10> -> 142.842759 
<15,11> -> 142.775645 
<15,12> -> 142.395326 
<15,13> -> 140.240179 
<15,14> -> 128.027682 
<15,15> -> 58.823529 
<16,0> -> 58.823529 
<16,1> -> 128.027682 
<16,2> -> 140.240179 
<16,3> -> 142.395326 
<16,4> -> 142.775646 
<16,5> -> 142.842761 
<16,6> -> 142.854602 
<16,7> -> 142.856681 
<16,8> -> 142.856985 
<16,9> -> 142.856681 
<16,10> -> 142.854602 
<16,11> -> 142.842761 
<16,12> -> 142.775646 
<16,13> -> 142.395326 
<16,14> -> 140.240179 
<16,15> -> 128.027682 
<16,16> -> 58.823529 
<17,0> -> 58.823529 
<17,1> -> 128.027682 
<17,2> -> 140.240179 
<17,3> -> 142.395326 
<17,4> -> 142.775646 
<17,5> -> 142.842761 
<17,6> -> 142.854604 
<17,7> -> 142.856693 
<17,8> -> 142.857050 
<17,9> -> 142.857050 
<17,10> -> 142.856693 
<17,11> -> 142.854604 
<17,12> -> 142.842761 
<17,13> -> 142.775646 
<17,14> -> 142.395326 
<17,15> -> 140.240179 
<17,16> -> 128.027682 
<17,17> -> 58.823529 
<18,0> -> 58.823529 
<18,1> -> 128.027682 
<18,2> -> 140.240179 
<18,3> -> 142.395326 
<18,4> -> 142.775646 
<18,5> -> 142.842761 
<18,6> -> 142.854605 
<18,7> -> 142.856695 
<18,8> -> 142.857061 
<18,9> -> 142.857115 
<18,10> -> 142.857061 
<18,11> -> 142.856695 
<18,12> -> 142.854605 
<18,13> -> 142.842761 
<18,14> -> 142.775646 
<18,15> -> 142.395326 
<18,16> -> 140.240179 
<18,17> -> 128.027682 
<18,18> -> 58.823529 
<19,0> -> 58.823529 
<19,1> -> 128.027682 
<19,2> -> 140.240179 
<19,3> -> 142.395326 
<19,4> -> 142.775646 
<19,5> -> 142.842761 
<19,6> -> 142.854605 
<19,7> -> 142.856695 
<19,8> -> 142.857063 
<19,9> -> 142.857126 
<19,10> -> 142.857126 
<19,11> -> 142.857063 
<19,12> -> 142.856695 
<19,13> -> 142.854605 
<19,14> -> 142.842761 
<19,15> -> 142.775646 
<19,16> -> 142.395326 
<19,17> -> 140.240179 
<19,18> -> 128.027682 
<19,19> -> 58.823529 
<20,0> -> 58.823529 
<20,1> -> 128.027682 
<20,2> -> 140.240179 
<20,3> -> 142.395326 
<20,4> -> 142.775646 
<20,5> -> 142.842761 
<20,6> -> 142.854605 
<20,7> -> 142.856695 
<20,8> -> 142.857064 
<20,9> -> 142.857128 
<20,10> -> 142.857138 
<20,11> -> 142.857128 
<20,12> -> 142.857064 
<20,13> -> 142.856695 
<20,14> -> 142.854605 
<20,15> -> 142.842761 
<20,16> -> 142.775646 
<20,17> -> 142.395326 
<20,18> -> 140.240179 
<20,19> -> 128.027682 
<20,20> -> 58.823529 
<21,0> -> 58.823529 
<21,1> -> 128.027682 
<21,2> -> 140.240179 
<21,3> -> 142.395326 
<21,4> -> 142.775646 
<21,5> -> 142.842761 
<21,6> -> 142.854605 
<21,7> -> 142.856695 
<21,8> -> 142.857064 
<21,9> -> 142.857129 
<21,10> -> 142.857140 
<21,11> -> 142.857140 
<21,12> -> 142.857129 
<21,13> -> 142.857064 
<21,14> -> 142.856695 
<21,15> -> 142.854605 
<21,16> -> 142.842761 
<21,17> -> 142.775646 
<21,18> -> 142.395326 
<21,19> -> 140.240179 
<21,20> -> 128.027682 
<21,21> -> 58.823529 
<22,0> -> 58.823529 
<22,1> -> 128.027682 
<22,2> -> 140.240179 
<22,3> -> 142.395326 
<22,4> -> 142.775646 
<22,5> -> 142.842761 
<22,6> -> 142.854605 
<22,7> -> 142.856695 
<22,8> -> 142.857064 
<22,9> -> 142.857129 
<22,10> -> 142.857140 
<22,11> -> 142.857142 
<22,12> -> 142.857140 
<22,13> -> 142.857129 
<22,14> -> 142.857064 
<22,15> -> 142.856695 
<22,16> -> 142.854605 
<22,17> -> 142.842761 
<22,18> -> 142.775646 
<22,19> -> 142.395326 
<22,20> -> 140.240179 
<22,21> -> 128.027682 
<22,22> -> 58.823529 
<23,0> -> 58.823529 
<23,1> -> 128.027682 
<23,2> -> 140.240179 
<23,3> -> 142.395326 
<23,4> -> 142.775646 
<23,5> -> 142.842761 
<23,6> -> 142.854605 
<23,7> -> 142.856695 
<23,8> -> 142.857064 
<23,9> -> 142.857129 
<23,10> -> 142.857140 
<23,11> -> 142.857142 
<23,12> -> 142.857142 
<23,13> -> 142.857140 
<23,14> -> 142.857129 
<23,15> -> 142.857064 
<23,16> -> 142.856695 
<23,17> -> 142.854605 
<23,18> -> 142.842761 
<23,19> -> 142.775646 
<23,20> -> 142.395326 
<23,21> -> 140.240179 
<23,22> -> 128.027682 
<23,23> -> 58.823529 
