<0,0> -> 0.000000 
<16,6> -> 2741.379821 
<16,7> -> 2741.419710 
<16,8> -> 2741.425539 
<16,9> -> 2741.419710 
<16,10> -> 2741.379821 
<16,11> -> 2741.152576 
<16,12> -> 2739.864640 
<16,13> -> 2732.566301 
<16,14> -> 2691.209037 
<16,15> -> 2456.851211 
<16,16> -> 1128.823529 
<17,0> -> 1128.823529 
<17,1> -> 2456.851211 
<17,2> -> 2691.209037 
<17,3> -> 2732.566301 
<17,4> -> 2739.864641 
<17,5> -> 2741.152582 
<17,6> -> 2741.379860 
<17,7> -> 2741.419930 
<17,8> -> 2741.426787 
<17,9> -> 2741.426787 
<17,10> -> 2741.419930 
<17,11> -> 2741.379860 
<17,12> -> 2741.152582 
<17,13> -> 2739.864641 
<17,14> -> 2732.566301 
<17,15> -> 2691.209037 
<17,16> -> 2456.851211 
<17,17> -> 1128.823529 
<18,0> -> 1128.823529 
<18,1> -> 2456.851211 
<18,2> -> 2691.209037 
<18,3> -> 2732.566301 
<18,4> -> 2739.864641 
<18,5> -> 2741.152584 
<18,6> -> 2741.379866 
<18,7> -> 2741.419968 
<18,8> -> 2741.427008 
<18,9> -> 2741.428036 
<18,10> -> 2741.427008 
<18,11> -> 2741.419968 
<18,12> -> 2741.379866 
<18,13> -> 2741.152584 
<18,14> -> 2739.864641 
<18,15> -> 2732.566301 
<18,16> -> 2691.209037 
<18,17> -> 2456.851211 
<18,18> -> 1128.823529 
<19,0> -> 1128.823529 
<19,1> -> 2456.851211 
<19,2> -> 2691.209037 
<19,3> -> 2732.566301 
<19,4> -> 2739.864641 
<19,5> -> 2741.152584 
<19,6> -> 2741.379867 
<19,7> -> 2741.419975 
<19,8> -> 2741.427046 
<19,9> -> 2741.428257 
<19,10> -> 2741.428257 
<19,11> -> 2741.427046 
<19,12> -> 2741.419975 
<19,13> -> 2741.379867 
<19,14> -> 2741.152584 
<19,15> -> 2739.864641 
<19,16> -> 2732.566301 
<19,17> -> 2691.209037 
<19,18> -> 2456.851211 
<19,19> -> 1128.823529 
