<0,0> -> 0.000000 
<18,8> -> 571.428245 
<18,9> -> 571.428460 
<18,10> -> 571.428245 
<18,11> -> 571.426778 
<18,12> -> 571.418419 
<18,13> -> 571.371044 
<18,14> -> 571.102583 
<18,15> -> 569.581303 
<18,16> -> 560.960716 
<18,17> -> 512.110727 
<18,18> -> 235.294118 
<19,0> -> 235.294118 
<19,1> -> 512.110727 
<19,2> -> 560.960716 
<19,3> -> 569.581303 
<19,4> -> 571.102583 
<19,5> -> 571.371044 
<19,6> -> 571.418419 
<19,7> -> 571.426780 
<19,8> -> 571.428254 
<19,9> -> 571.428506 
<19,10> -> 571.428506 
<19,11> -> 571.428254 
<19,12> -> 571.426780 
<19,13> -> 571.418419 
<19,14> -> 571.371044 
<19,15> -> 571.102583 
<19,16> -> 569.581303 
<19,17> -> 560.960716 
<19,18> -> 512.110727 
<19,19> -> 235.294118 
<20,0> -> 235.294118 
<20,1> -> 512.110727 
<20,2> -> 560.960716 
<20,3> -> 569.581303 
<20,4> -> 571.102583 
<20,5> -> 571.371044 
<20,6> -> 571.418420 
<20,7> -> 571.426780 
<20,8> -> 571.428255 
<20,9> -> 571.428514 
<20,10> -> 571.428552 
<20,11> -> 571.428514 
<20,12> -> 571.428255 
<20,13> -> 571.426780 
<20,14> -> 571.418420 
<20,15> -> 571.371044 
<20,16> -> 571.102583 
<20,17> -> 569.581303 
<20,18> -> 560.960716 
<20,19> -> 512.110727 
<20,20> -> 235.294118 
